Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
04.01.2024/01:00;04.01.2024/00:00;SE1, SE2, SE3, SE4;-19082,12027;-12434,174428;-6647,945842;0
04.01.2024/02:00;04.01.2024/01:00;SE1, SE2, SE3, SE4;-18964,864115;-12375,588354;-6589,275761;0
04.01.2024/03:00;04.01.2024/02:00;SE1, SE2, SE3, SE4;-18929,426099;-12332,352031;-6597,074068;0
04.01.2024/04:00;04.01.2024/03:00;SE1, SE2, SE3, SE4;-19132,233121;-12451,802515;-6680,430606;0
04.01.2024/05:00;04.01.2024/04:00;SE1, SE2, SE3, SE4;-19737,473598;-12881,181191;-6856,292407;0
04.01.2024/06:00;04.01.2024/05:00;SE1, SE2, SE3, SE4;-20817,327315;-13743,128323;-7074,198992;0
04.01.2024/07:00;04.01.2024/06:00;SE1, SE2, SE3, SE4;-22090,675175;-14764,618765;-7326,05641;0
04.01.2024/08:00;04.01.2024/07:00;SE1, SE2, SE3, SE4;-22765,377934;-15225,854692;-7539,523242;0
04.01.2024/09:00;04.01.2024/08:00;SE1, SE2, SE3, SE4;-22957,549578;-15270,163336;-7687,386242;0
04.01.2024/10:00;04.01.2024/09:00;SE1, SE2, SE3, SE4;-23264,245711;-15461,111072;-7803,134639;0
04.01.2024/11:00;04.01.2024/10:00;SE1, SE2, SE3, SE4;-23242,900405;-15376,965706;-7865,934699;0
04.01.2024/12:00;04.01.2024/11:00;SE1, SE2, SE3, SE4;-23360,320762;-15337,09003;-8023,230732;0
04.01.2024/13:00;04.01.2024/12:00;SE1, SE2, SE3, SE4;-23200,966342;-15361,357693;-7839,608649;0
04.01.2024/14:00;04.01.2024/13:00;SE1, SE2, SE3, SE4;-23457,060787;-15527,734887;-7929,3259;0
04.01.2024/15:00;04.01.2024/14:00;SE1, SE2, SE3, SE4;-23866,206855;-15652,153885;-8214,05297;0
04.01.2024/16:00;04.01.2024/15:00;SE1, SE2, SE3, SE4;-24076,572745;-15425,973527;-8650,599218;0
04.01.2024/17:00;04.01.2024/16:00;SE1, SE2, SE3, SE4;-24130,231073;-15215,836365;-8914,394708;0
04.01.2024/18:00;04.01.2024/17:00;SE1, SE2, SE3, SE4;-23865,709164;-14922,800094;-8942,90907;0
04.01.2024/19:00;04.01.2024/18:00;SE1, SE2, SE3, SE4;-23366,191155;-14588,161828;-8778,029327;0
04.01.2024/20:00;04.01.2024/19:00;SE1, SE2, SE3, SE4;-22876,313438;-14299,544031;-8576,769407;0
04.01.2024/21:00;04.01.2024/20:00;SE1, SE2, SE3, SE4;-22250,279474;-13911,283187;-8338,996287;0
04.01.2024/22:00;04.01.2024/21:00;SE1, SE2, SE3, SE4;-21604,622096;-13536,512512;-8068,109584;0
04.01.2024/23:00;04.01.2024/22:00;SE1, SE2, SE3, SE4;-21055,943372;-13274,534365;-7781,409007;0
05.01.2024/00:00;04.01.2024/23:00;SE1, SE2, SE3, SE4;-20570,416931;-12951,088315;-7619,328616;0
05.01.2024/01:00;05.01.2024/00:00;SE1, SE2, SE3, SE4;-20306,443342;-12772,094942;-7534,3484;0
05.01.2024/02:00;05.01.2024/01:00;SE1, SE2, SE3, SE4;-20296,323578;-12789,994188;-7506,32939;0
05.01.2024/03:00;05.01.2024/02:00;SE1, SE2, SE3, SE4;-20328,888576;-12777,386087;-7551,502489;0
05.01.2024/04:00;05.01.2024/03:00;SE1, SE2, SE3, SE4;-20537,150001;-12895,910379;-7641,239622;0
05.01.2024/05:00;05.01.2024/04:00;SE1, SE2, SE3, SE4;-21056,467632;-13262,778117;-7793,689515;0
05.01.2024/06:00;05.01.2024/05:00;SE1, SE2, SE3, SE4;-22266,282692;-14229,465741;-8036,816951;0
05.01.2024/07:00;05.01.2024/06:00;SE1, SE2, SE3, SE4;-23329,624147;-15040,433221;-8289,190926;0
05.01.2024/08:00;05.01.2024/07:00;SE1, SE2, SE3, SE4;-23886,277852;-15358,577457;-8527,700395;0
05.01.2024/09:00;05.01.2024/08:00;SE1, SE2, SE3, SE4;-24085,83879;-15436,212599;-8649,626191;0
05.01.2024/10:00;05.01.2024/09:00;SE1, SE2, SE3, SE4;-24102,441948;-15427,046119;-8675,395829;0
05.01.2024/11:00;05.01.2024/10:00;SE1, SE2, SE3, SE4;-23850,00135;-15253,464669;-8596,536681;0
05.01.2024/12:00;05.01.2024/11:00;SE1, SE2, SE3, SE4;-23453,97813;-14991,87417;-8462,10396;0
05.01.2024/13:00;05.01.2024/12:00;SE1, SE2, SE3, SE4;-23160,368803;-14795,410742;-8364,958061;0
05.01.2024/14:00;05.01.2024/13:00;SE1, SE2, SE3, SE4;-23161,593295;-14751,101357;-8410,491938;0
05.01.2024/15:00;05.01.2024/14:00;SE1, SE2, SE3, SE4;-23401,701501;-14677,695272;-8724,006229;0
05.01.2024/16:00;05.01.2024/15:00;SE1, SE2, SE3, SE4;-23713,578983;-14516,016718;-9197,562265;0
05.01.2024/17:00;05.01.2024/16:00;SE1, SE2, SE3, SE4;-23836,76129;-14369,721821;-9467,039469;0
05.01.2024/18:00;05.01.2024/17:00;SE1, SE2, SE3, SE4;-23500,589178;-14063,703999;-9436,885179;0
05.01.2024/19:00;05.01.2024/18:00;SE1, SE2, SE3, SE4;-23034,752656;-13829,473554;-9205,279102;0
05.01.2024/20:00;05.01.2024/19:00;SE1, SE2, SE3, SE4;-22648,967206;-13724,412422;-8924,554784;0
05.01.2024/21:00;05.01.2024/20:00;SE1, SE2, SE3, SE4;-22145,589765;-13443,901218;-8701,688547;0
05.01.2024/22:00;05.01.2024/21:00;SE1, SE2, SE3, SE4;-21649,241236;-13162,108572;-8487,132664;0
05.01.2024/23:00;05.01.2024/22:00;SE1, SE2, SE3, SE4;-21193,697528;-12930,890994;-8262,806534;0
06.01.2024/00:00;05.01.2024/23:00;SE1, SE2, SE3, SE4;-20910,786832;-12832,082018;-8078,704814;0
06.01.2024/01:00;06.01.2024/00:00;SE1, SE2, SE3, SE4;-20735,968664;-12772,100835;-7963,867829;0
06.01.2024/02:00;06.01.2024/01:00;SE1, SE2, SE3, SE4;-20542,91363;-12606,890388;-7936,023242;0
