Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
03.01.2024/03:00;03.01.2024/02:00;SE1, SE2, SE3, SE4;19604,201128;7020,503525;6305,62;4,841775;688,425712;5553,838055;0;0;30,972061
03.01.2024/04:00;03.01.2024/03:00;SE1, SE2, SE3, SE4;19844,971795;7333,367066;6304,6;4,899101;697,666124;5474,561801;0;0;29,877703
03.01.2024/05:00;03.01.2024/04:00;SE1, SE2, SE3, SE4;20872,422419;8283,701109;6305,06;4,972742;749,777791;5500,914446;0;0;27,996331
03.01.2024/06:00;03.01.2024/05:00;SE1, SE2, SE3, SE4;22007,633866;9314,773342;6302,63;5,196395;801,710008;5558,561786;0;0;24,762335
03.01.2024/07:00;03.01.2024/06:00;SE1, SE2, SE3, SE4;23390,706171;10650,836521;6303,45;5,412266;840,025066;5565,572264;0;0;25,410054
03.01.2024/08:00;03.01.2024/07:00;SE1, SE2, SE3, SE4;24223,338288;11438,769044;6302,64;5,530903;884,792289;5565,005537;0;0;26,600515
03.01.2024/09:00;03.01.2024/08:00;SE1, SE2, SE3, SE4;24471,948086;11710,710234;6303,97;6,473891;881,389034;5533,445804;0;0;35,959123
03.01.2024/10:00;03.01.2024/09:00;SE1, SE2, SE3, SE4;24545,560765;11768,58125;6303,45;9,710563;837,08454;5602,917047;0;0;23,817365
03.01.2024/11:00;03.01.2024/10:00;SE1, SE2, SE3, SE4;24497,048042;11712,554136;6302,99;11,445816;823,437663;5617,749662;0;0;28,870765
03.01.2024/12:00;03.01.2024/11:00;SE1, SE2, SE3, SE4;24585,267507;11866,016133;6303,06;10,73184;831,079996;5547,42627;0;0;26,953268
03.01.2024/13:00;03.01.2024/12:00;SE1, SE2, SE3, SE4;24549,664825;11890,628379;6303,97;8,946327;843,277372;5473,213524;0;0;29,629223
03.01.2024/14:00;03.01.2024/13:00;SE1, SE2, SE3, SE4;24854,360022;12175,377756;6305,15;6,823378;864,245742;5474,21625;0;0;28,546896
03.01.2024/15:00;03.01.2024/14:00;SE1, SE2, SE3, SE4;24890,645309;12191,696493;6306,03;5,345591;838,825833;5520,977699;0;0;27,769693
03.01.2024/16:00;03.01.2024/15:00;SE1, SE2, SE3, SE4;25162,465364;12484,375125;6305,33;1,680713;864,199816;5476,963193;0;0;29,916517
03.01.2024/17:00;03.01.2024/16:00;SE1, SE2, SE3, SE4;25410,808901;12723,9813;6307,79;1,857198;875,428188;5469,898128;0;0;31,854087
03.01.2024/18:00;03.01.2024/17:00;SE1, SE2, SE3, SE4;25358,706326;12659,414533;6307,23;1,501235;856,654581;5500,804201;0;0;33,101776
03.01.2024/19:00;03.01.2024/18:00;SE1, SE2, SE3, SE4;25230,792576;12582,745134;6306,19;1,245467;838,079905;5469,473809;0;0;33,058261
03.01.2024/20:00;03.01.2024/19:00;SE1, SE2, SE3, SE4;24812,764752;12251,030802;6305,9;1,148408;834,596316;5386,798176;0;0;33,29105
03.01.2024/21:00;03.01.2024/20:00;SE1, SE2, SE3, SE4;24343,543259;11719,480668;6305,42;1,468708;836,687953;5446,808574;0;0;33,677356
03.01.2024/22:00;03.01.2024/21:00;SE1, SE2, SE3, SE4;24058,699634;11439,429441;6307,43;1,080189;818,551139;5459,091035;0;0;33,11783
03.01.2024/23:00;03.01.2024/22:00;SE1, SE2, SE3, SE4;23396,762164;10780,245841;6307;1,114855;804,042003;5473,287787;0;0;31,071678
04.01.2024/00:00;03.01.2024/23:00;SE1, SE2, SE3, SE4;22178,943204;9786,287684;6306,3;1,019132;756,536104;5292,405331;0;0;36,394953
04.01.2024/01:00;04.01.2024/00:00;SE1, SE2, SE3, SE4;21206,581109;8887,563571;6307,11;0,992138;723,387586;5252,246746;0;0;35,281068
04.01.2024/02:00;04.01.2024/01:00;SE1, SE2, SE3, SE4;20976,646675;8872,212269;6224,99;0,986324;726,077161;5119,995137;0;0;32,385784
04.01.2024/03:00;04.01.2024/02:00;SE1, SE2, SE3, SE4;20916,886224;8918,112703;6044,61;1,001236;753,258829;5166,1408;0;0;33,762656
04.01.2024/04:00;04.01.2024/03:00;SE1, SE2, SE3, SE4;20914,110169;9091,715932;5860,75;1,093755;768,098489;5162,977587;0;0;29,474406
04.01.2024/05:00;04.01.2024/04:00;SE1, SE2, SE3, SE4;21078,443785;9375,830949;5769,57;1,169509;787,794453;5119,325354;0;0;24,75352
04.01.2024/06:00;04.01.2024/05:00;SE1, SE2, SE3, SE4;22049,972275;10409,572325;5769,65;1,354404;778,958341;5060,078088;0;0;30,359117
04.01.2024/07:00;04.01.2024/06:00;SE1, SE2, SE3, SE4;23187,689158;11536,722652;5769,44;1,698314;804,724791;5048,894432;0;0;26,208969
04.01.2024/08:00;04.01.2024/07:00;SE1, SE2, SE3, SE4;23741,760881;12045,727578;5771;1,811909;827,151201;5069,396136;0;0;26,674057
04.01.2024/09:00;04.01.2024/08:00;SE1, SE2, SE3, SE4;23468,424508;11911,517681;5769,34;3,668314;833,212489;4929,493008;0;0;21,193016
04.01.2024/10:00;04.01.2024/09:00;SE1, SE2, SE3, SE4;23674,453772;12058,862674;5768,24;15,110404;852,05679;4931,250852;0;0;48,933052
04.01.2024/11:00;04.01.2024/10:00;SE1, SE2, SE3, SE4;23668,938871;12139,494902;5769,63;31,493419;879,379305;4823,658799;0;0;25,282446
04.01.2024/12:00;04.01.2024/11:00;SE1, SE2, SE3, SE4;23494,883664;12090,36098;5768,5;41,764496;889,650735;4680,401641;0;0;24,205812
04.01.2024/13:00;04.01.2024/12:00;SE1, SE2, SE3, SE4;23594,28556;12202,159309;5768,82;30,241785;900,195002;4669,511751;0;0;23,357713
04.01.2024/14:00;04.01.2024/13:00;SE1, SE2, SE3, SE4;23672,361522;12462,206105;5769,85;10,106451;908,63244;4494,165103;0;0;27,401423
04.01.2024/15:00;04.01.2024/14:00;SE1, SE2, SE3, SE4;23857,082619;12623,142689;5771,19;1,969343;942,840226;4496,674733;0;0;21,265628
04.01.2024/16:00;04.01.2024/15:00;SE1, SE2, SE3, SE4;24089,964427;12718,287068;5771,69;1,577546;970,870385;4604,821255;0;0;22,718173
04.01.2024/17:00;04.01.2024/16:00;SE1, SE2, SE3, SE4;23977,112179;12664,359659;5772,46;1,783026;987,993748;4527,673816;0;0;22,84193
04.01.2024/18:00;04.01.2024/17:00;SE1, SE2, SE3, SE4;23705,489919;12408,93556;5780,15;1,654299;1002,492095;4494,996478;0;0;17,261487
04.01.2024/19:00;04.01.2024/18:00;SE1, SE2, SE3, SE4;23467,334637;12134,443205;5893,07;1,274772;1018,35475;4408,944932;0;0;11,246978
04.01.2024/20:00;04.01.2024/19:00;SE1, SE2, SE3, SE4;23353,634896;11875,94794;6061,92;1,125299;1037,384595;4370,577583;0;0;6,679479
04.01.2024/21:00;04.01.2024/20:00;SE1, SE2, SE3, SE4;23090,020981;11638,378753;6146,66;1,41106;971,578814;4327,772396;0;0;4,219958
04.01.2024/22:00;04.01.2024/21:00;SE1, SE2, SE3, SE4;23106,768074;11734,526525;6201,85;1,059356;917,929461;4247,737057;0;0;3,665675
04.01.2024/23:00;04.01.2024/22:00;SE1, SE2, SE3, SE4;22708,880877;11193,176098;6292,42;1,140926;919,204024;4299,655516;0;0;3,284313
05.01.2024/00:00;04.01.2024/23:00;SE1, SE2, SE3, SE4;21535,096128;10001,897532;6299,6;1,062294;901,711826;4327,260701;0;0;3,563775
05.01.2024/01:00;05.01.2024/00:00;SE1, SE2, SE3, SE4;20721,816183;9064,143957;6307,96;1,023435;895,375748;4449,535442;0;0;3,777601
05.01.2024/02:00;05.01.2024/01:00;SE1, SE2, SE3, SE4;20689,576395;8939,744133;6309,11;0,954381;890,422496;4545,622279;0;0;3,723106
05.01.2024/03:00;05.01.2024/02:00;SE1, SE2, SE3, SE4;20784,66999;8989,770279;6313,36;0,973001;908,506794;4568,690459;0;0;3,369457
05.01.2024/04:00;05.01.2024/03:00;SE1, SE2, SE3, SE4;20699,652602;8943,336732;6312,98;1,00711;973,811528;4464,89716;0;0;3,620072
05.01.2024/05:00;05.01.2024/04:00;SE1, SE2, SE3, SE4;21033,70664;9307,483261;6314;1,085219;1025,890582;4382,624564;0;0;2,623014
05.01.2024/06:00;05.01.2024/05:00;SE1, SE2, SE3, SE4;22262,757645;10633,872996;6312,31;1,28924;1091,635323;4206,471545;0;0;17,178541
05.01.2024/07:00;05.01.2024/06:00;SE1, SE2, SE3, SE4;23235,233351;11662,787414;6310,24;1,731685;1169,749406;4077,594252;0;0;13,130594
05.01.2024/08:00;05.01.2024/07:00;SE1, SE2, SE3, SE4;23884,135381;12351,789524;6309,68;2,199927;1239,010243;3967,488063;0;0;13,967624
05.01.2024/09:00;05.01.2024/08:00;SE1, SE2, SE3, SE4;23765,077972;12664,543757;6309,64;6,3175;1252,264095;3523,850523;0;0;8,462097
05.01.2024/10:00;05.01.2024/09:00;SE1, SE2, SE3, SE4;23280,417942;12687,819865;6312,09;24,31779;1275,589204;2978,231307;0;0;2,369776
05.01.2024/11:00;05.01.2024/10:00;SE1, SE2, SE3, SE4;22780,647675;12611,147294;6312,31;46,762668;1270,053508;2534,111108;0;0;6,263097
