Date/Time SNT;MBA;Load Profile [MWh]
07.01.2024/20:00;SE1, SE2, SE3, SE4;-8750,899
07.01.2024/21:00;SE1, SE2, SE3, SE4;-8469,755
07.01.2024/22:00;SE1, SE2, SE3, SE4;-8154,188
07.01.2024/23:00;SE1, SE2, SE3, SE4;-7807,981
08.01.2024/00:00;SE1, SE2, SE3, SE4;-7586,95
08.01.2024/01:00;SE1, SE2, SE3, SE4;-7467,769
08.01.2024/02:00;SE1, SE2, SE3, SE4;-7423,302
08.01.2024/03:00;SE1, SE2, SE3, SE4;-7453,444
08.01.2024/04:00;SE1, SE2, SE3, SE4;-7527,414
08.01.2024/05:00;SE1, SE2, SE3, SE4;-7686,854
08.01.2024/06:00;SE1, SE2, SE3, SE4;-7982,882
08.01.2024/07:00;SE1, SE2, SE3, SE4;-8211,37
08.01.2024/08:00;SE1, SE2, SE3, SE4;-8307,235
08.01.2024/09:00;SE1, SE2, SE3, SE4;-8253,42
08.01.2024/10:00;SE1, SE2, SE3, SE4;-8181,977
08.01.2024/11:00;SE1, SE2, SE3, SE4;-8018,088
08.01.2024/12:00;SE1, SE2, SE3, SE4;-7852,156
08.01.2024/13:00;SE1, SE2, SE3, SE4;-7672,194
08.01.2024/14:00;SE1, SE2, SE3, SE4;-7623,737
08.01.2024/15:00;SE1, SE2, SE3, SE4;-7820,913
08.01.2024/16:00;SE1, SE2, SE3, SE4;-8249,136
08.01.2024/17:00;SE1, SE2, SE3, SE4;-8574,82
08.01.2024/18:00;SE1, SE2, SE3, SE4;-8518,338
08.01.2024/19:00;SE1, SE2, SE3, SE4;-8288,062
08.01.2024/20:00;SE1, SE2, SE3, SE4;-8010,452
08.01.2024/21:00;SE1, SE2, SE3, SE4;-7668,825
08.01.2024/22:00;SE1, SE2, SE3, SE4;-7271,251
08.01.2024/23:00;SE1, SE2, SE3, SE4;-6861,821
09.01.2024/00:00;SE1, SE2, SE3, SE4;-6621,898
09.01.2024/01:00;SE1, SE2, SE3, SE4;-6440,299
09.01.2024/02:00;SE1, SE2, SE3, SE4;-6321,335
09.01.2024/03:00;SE1, SE2, SE3, SE4;-6250,394
09.01.2024/04:00;SE1, SE2, SE3, SE4;-6237,379
09.01.2024/05:00;SE1, SE2, SE3, SE4;-6345,648
09.01.2024/06:00;SE1, SE2, SE3, SE4;-6620,206
09.01.2024/07:00;SE1, SE2, SE3, SE4;-6822,317
09.01.2024/08:00;SE1, SE2, SE3, SE4;-6823,605
09.01.2024/09:00;SE1, SE2, SE3, SE4;-6726,173
09.01.2024/10:00;SE1, SE2, SE3, SE4;-6657,557
09.01.2024/11:00;SE1, SE2, SE3, SE4;-6549,054
09.01.2024/12:00;SE1, SE2, SE3, SE4;-6462,107
09.01.2024/13:00;SE1, SE2, SE3, SE4;-6343,937
09.01.2024/14:00;SE1, SE2, SE3, SE4;-6346,078
09.01.2024/15:00;SE1, SE2, SE3, SE4;-6552,237
09.01.2024/16:00;SE1, SE2, SE3, SE4;-7018,225
09.01.2024/17:00;SE1, SE2, SE3, SE4;-7347,92
09.01.2024/18:00;SE1, SE2, SE3, SE4;-7308,055
09.01.2024/19:00;SE1, SE2, SE3, SE4;-7116,624
09.01.2024/20:00;SE1, SE2, SE3, SE4;-6835,649
09.01.2024/21:00;SE1, SE2, SE3, SE4;-6504,465
09.01.2024/22:00;SE1, SE2, SE3, SE4;-6140,503
09.01.2024/23:00;SE1, SE2, SE3, SE4;-5764,156
10.01.2024/00:00;SE1, SE2, SE3, SE4;-5550,963
10.01.2024/01:00;SE1, SE2, SE3, SE4;-5427,056
10.01.2024/02:00;SE1, SE2, SE3, SE4;-5378,423
10.01.2024/03:00;SE1, SE2, SE3, SE4;-5384,706
10.01.2024/04:00;SE1, SE2, SE3, SE4;-5449,675
10.01.2024/05:00;SE1, SE2, SE3, SE4;-5648,097
10.01.2024/06:00;SE1, SE2, SE3, SE4;-6014,149
10.01.2024/07:00;SE1, SE2, SE3, SE4;-6306,47
10.01.2024/08:00;SE1, SE2, SE3, SE4;-6343,337
10.01.2024/09:00;SE1, SE2, SE3, SE4;-6300,092
10.01.2024/10:00;SE1, SE2, SE3, SE4;-6233,556
10.01.2024/11:00;SE1, SE2, SE3, SE4;-6113,176
10.01.2024/12:00;SE1, SE2, SE3, SE4;-6015,46
10.01.2024/13:00;SE1, SE2, SE3, SE4;-5909,131
10.01.2024/14:00;SE1, SE2, SE3, SE4;-5945,76
10.01.2024/15:00;SE1, SE2, SE3, SE4;-6193,155
10.01.2024/16:00;SE1, SE2, SE3, SE4;-6728,524
10.01.2024/17:00;SE1, SE2, SE3, SE4;-7112,767
10.01.2024/18:00;SE1, SE2, SE3, SE4;-7083,461
10.01.2024/19:00;SE1, SE2, SE3, SE4;-6892,975
10.01.2024/20:00;SE1, SE2, SE3, SE4;-6639,848
10.01.2024/21:00;SE1, SE2, SE3, SE4;-6310,344
10.01.2024/22:00;SE1, SE2, SE3, SE4;-5926,465
10.01.2024/23:00;SE1, SE2, SE3, SE4;-5551,269
11.01.2024/00:00;SE1, SE2, SE3, SE4;-5299,814
11.01.2024/01:00;SE1, SE2, SE3, SE4;-5143,258
11.01.2024/02:00;SE1, SE2, SE3, SE4;-5078,314
11.01.2024/03:00;SE1, SE2, SE3, SE4;-5072,035
11.01.2024/04:00;SE1, SE2, SE3, SE4;-5112,591
11.01.2024/05:00;SE1, SE2, SE3, SE4;-5297,338
11.01.2024/06:00;SE1, SE2, SE3, SE4;-5640,702
11.01.2024/07:00;SE1, SE2, SE3, SE4;-5948,122
11.01.2024/08:00;SE1, SE2, SE3, SE4;-5957,931
11.01.2024/09:00;SE1, SE2, SE3, SE4;-5898,923
11.01.2024/10:00;SE1, SE2, SE3, SE4;-5818,907
11.01.2024/11:00;SE1, SE2, SE3, SE4;-5721,135
11.01.2024/12:00;SE1, SE2, SE3, SE4;-5641,204
11.01.2024/13:00;SE1, SE2, SE3, SE4;-5569,868
11.01.2024/14:00;SE1, SE2, SE3, SE4;-5632,272
11.01.2024/15:00;SE1, SE2, SE3, SE4;-5923,643
11.01.2024/16:00;SE1, SE2, SE3, SE4;-6489,758
11.01.2024/17:00;SE1, SE2, SE3, SE4;-6884,098
11.01.2024/18:00;SE1, SE2, SE3, SE4;-6920,266
11.01.2024/19:00;SE1, SE2, SE3, SE4;-6808,57
11.01.2024/20:00;SE1, SE2, SE3, SE4;-6591,138
11.01.2024/21:00;SE1, SE2, SE3, SE4;-6318,631
11.01.2024/22:00;SE1, SE2, SE3, SE4;-5997,91
11.01.2024/23:00;SE1, SE2, SE3, SE4;-5658,842
12.01.2024/00:00;SE1, SE2, SE3, SE4;-5419,467
12.01.2024/01:00;SE1, SE2, SE3, SE4;-5300,153
12.01.2024/02:00;SE1, SE2, SE3, SE4;-5227,482
12.01.2024/03:00;SE1, SE2, SE3, SE4;-5223,504
12.01.2024/04:00;SE1, SE2, SE3, SE4;-5284,727
12.01.2024/05:00;SE1, SE2, SE3, SE4;-5428,82
12.01.2024/06:00;SE1, SE2, SE3, SE4;-5723,694
12.01.2024/07:00;SE1, SE2, SE3, SE4;-5973,848
12.01.2024/08:00;SE1, SE2, SE3, SE4;-6042,316
12.01.2024/09:00;SE1, SE2, SE3, SE4;-6025,318
12.01.2024/10:00;SE1, SE2, SE3, SE4;-5931,825
12.01.2024/11:00;SE1, SE2, SE3, SE4;-5799,505
12.01.2024/12:00;SE1, SE2, SE3, SE4;-5713,358
12.01.2024/13:00;SE1, SE2, SE3, SE4;-5670,885
12.01.2024/14:00;SE1, SE2, SE3, SE4;-5751,485
12.01.2024/15:00;SE1, SE2, SE3, SE4;-6022,327
12.01.2024/16:00;SE1, SE2, SE3, SE4;-6505,066
12.01.2024/17:00;SE1, SE2, SE3, SE4;-6853,977
12.01.2024/18:00;SE1, SE2, SE3, SE4;-6875,642
12.01.2024/19:00;SE1, SE2, SE3, SE4;-6663,877
12.01.2024/20:00;SE1, SE2, SE3, SE4;-6362,92
12.01.2024/21:00;SE1, SE2, SE3, SE4;-6123,974
12.01.2024/22:00;SE1, SE2, SE3, SE4;-5884,951
12.01.2024/23:00;SE1, SE2, SE3, SE4;-5626,024
13.01.2024/00:00;SE1, SE2, SE3, SE4;-5421,14
13.01.2024/01:00;SE1, SE2, SE3, SE4;-5267,861
13.01.2024/02:00;SE1, SE2, SE3, SE4;-5204,947
13.01.2024/03:00;SE1, SE2, SE3, SE4;-5154,766
13.01.2024/04:00;SE1, SE2, SE3, SE4;-5142,076
13.01.2024/05:00;SE1, SE2, SE3, SE4;-5154,298
13.01.2024/06:00;SE1, SE2, SE3, SE4;-5215,069
13.01.2024/07:00;SE1, SE2, SE3, SE4;-5377,691
13.01.2024/08:00;SE1, SE2, SE3, SE4;-5613,462
13.01.2024/09:00;SE1, SE2, SE3, SE4;-5839,286
13.01.2024/10:00;SE1, SE2, SE3, SE4;-6019,375
13.01.2024/11:00;SE1, SE2, SE3, SE4;-6096,571
13.01.2024/12:00;SE1, SE2, SE3, SE4;-6102,303
13.01.2024/13:00;SE1, SE2, SE3, SE4;-6022,029
13.01.2024/14:00;SE1, SE2, SE3, SE4;-5986,987
13.01.2024/15:00;SE1, SE2, SE3, SE4;-6124,163
13.01.2024/16:00;SE1, SE2, SE3, SE4;-6485,272
13.01.2024/17:00;SE1, SE2, SE3, SE4;-6665,501
13.01.2024/18:00;SE1, SE2, SE3, SE4;-6630,926
13.01.2024/19:00;SE1, SE2, SE3, SE4;-6374,72
13.01.2024/20:00;SE1, SE2, SE3, SE4;-6108,125
13.01.2024/21:00;SE1, SE2, SE3, SE4;-5875,233
13.01.2024/22:00;SE1, SE2, SE3, SE4;-5642,305
13.01.2024/23:00;SE1, SE2, SE3, SE4;-5398,88
14.01.2024/00:00;SE1, SE2, SE3, SE4;-5217,184
14.01.2024/01:00;SE1, SE2, SE3, SE4;-5088,849
14.01.2024/02:00;SE1, SE2, SE3, SE4;-5026,078
14.01.2024/03:00;SE1, SE2, SE3, SE4;-4967,937
14.01.2024/04:00;SE1, SE2, SE3, SE4;-4973,168
14.01.2024/05:00;SE1, SE2, SE3, SE4;-5042,645
14.01.2024/06:00;SE1, SE2, SE3, SE4;-5162,72
14.01.2024/07:00;SE1, SE2, SE3, SE4;-5381,688
14.01.2024/08:00;SE1, SE2, SE3, SE4;-5635,742
14.01.2024/09:00;SE1, SE2, SE3, SE4;-5893,713
14.01.2024/10:00;SE1, SE2, SE3, SE4;-6085,891
14.01.2024/11:00;SE1, SE2, SE3, SE4;-6171,46
14.01.2024/12:00;SE1, SE2, SE3, SE4;-6189,575
14.01.2024/13:00;SE1, SE2, SE3, SE4;-6185,516
14.01.2024/14:00;SE1, SE2, SE3, SE4;-6204,213
14.01.2024/15:00;SE1, SE2, SE3, SE4;-6383,875
14.01.2024/16:00;SE1, SE2, SE3, SE4;-6787,973
14.01.2024/17:00;SE1, SE2, SE3, SE4;-7006,349
14.01.2024/18:00;SE1, SE2, SE3, SE4;-6952,957
14.01.2024/19:00;SE1, SE2, SE3, SE4;-6758,958
14.01.2024/20:00;SE1, SE2, SE3, SE4;-6519,911
14.01.2024/21:00;SE1, SE2, SE3, SE4;-6220,018
14.01.2024/22:00;SE1, SE2, SE3, SE4;-5903,025
14.01.2024/23:00;SE1, SE2, SE3, SE4;-5597,113
15.01.2024/00:00;SE1, SE2, SE3, SE4;-5425,918
15.01.2024/01:00;SE1, SE2, SE3, SE4;-5357,273
15.01.2024/02:00;SE1, SE2, SE3, SE4;-5386,38
15.01.2024/03:00;SE1, SE2, SE3, SE4;-5446,56
15.01.2024/04:00;SE1, SE2, SE3, SE4;-5603,16
15.01.2024/05:00;SE1, SE2, SE3, SE4;-5866,389
